STAT105,Regression Regression
CS402,Applied Algorithms,CS302,MATH201
PHYS403,Advanced Optics,PHYS303
ENGR102,Statics Statics
FIN308,Markets Markets,FIN208
PHIL103,Ethics Ethics
FIN303,Investments Investments,FIN203
GEO307,Geomorphology Remote Sensing,GEO207
BUS408,Advanced Management,BUS308
ENG205,Composition Composition,ENG105
ANTH202,Medical Cultural Studies,ANTH102
MATH309,College Algebra,MATH209
MIS309,Management Information Systems,MIS209
SOC202,Rural Globalization,SOC102
MATH208,Discrete Linear Algebra,MATH108
CHEM210,Biochemistry Biochemistry,CHEM110
ART406,Art History Art History,ART306
PSY405,Personality Research Methods,PSY305
MATH201,Discrete Linear Algebra,MATH101
HIST301,Medieval Global History,HIST201
ART202,Photography Photography,ART102
GEO201,Cartography Climatology,GEO101
ART310,Drawing Drawing,ART210
ENG103,Literature Literature
SPAN205,Elementary Spanish,SPAN105
COMM409,Journalism Journalism,COMM309
SOC302,Introduction to Sociology,SOC202
BIO206,Cell Genetics,BIO106
CS209,Advanced Software Engineering,CS109
HIST206,American American History,HIST106
STAT208,Bayesian Bayesian Methods,STAT108
FIN407,Investments Investments,FIN307
COMM105,PR Public Relations
MATH404,Numerical Numerical Methods,MATH304
IT209,Cloud Web Development,IT109
SOC301,Inequality Methods,SOC201
PHIL309,Introduction to Philosophy,PHIL209
CHEM101,General Chemistry
THEA308,Production Production,THEA208
POLS403,Political Theory Public Policy,POLS303
ANTH406,Cultural Anthropology,ANTH306
PHYS305,Applied Quantum,PHYS205
STAT303,Applied Applied Statistics,STAT203
ACC103,Auditing Auditing
CS210,Topics in Databases,CS110
STAT404,Time Series Time Series,STAT304
SOC110,Cultural Inequality
STAT306,Regression Regression,STAT206
ANTH102,Biological Archaeology
ANTH109,Biological Archaeology
ECON109,Micro Microeconomics
MATH308,Foundations of Number Theory,MATH208
THEA108,Acting Acting
BIO101,Introductory Biology
MATH204,Foundations of Number Theory,MATH104
BIO406,Introductory Biology,BIO306
ART110,Painting Painting
ACC210,Accounting Info Systems Reporting,ACC110
HIST405,Medieval Global History,HIST305
NUR209,Psychiatric OB/GYN,NUR109
POLS401,International International Relations,POLS301
GEO407,Human GIS,GEO307
ENV303,Sustainability Sustainability,ENV203
ENV404,Modeling Resources,ENV304
SOC407,Social Social Theory,SOC307
ENG301,Creative Writing Creative Writing,ENG201
BUS304,Advanced Management,BUS204
POLS407,Comparative Comparative Politics,POLS307
STAT408,Mathematical Mathematical Statistics,STAT308
GEO304,GIS Cartography,GEO204
SOC102,Social Social Theory
PHYS406,General Physics,PHYS306
ENG204,Creative Writing Creative Writing,ENG104
THEA203,Design Design,THEA103
PHIL101,Introduction to Philosophy
SPAN102,Intermediate Conversation
CHEM406,General Chemistry,CHEM306
MATH407,Applied Calculus,MATH307
THEA207,Stagecraft Stagecraft,THEA107
HIST107,Medieval Global History
CS408,Principles of Data Structures,CS308,MATH201
HIST103,European European History
ACC310,Managerial Managerial Accounting,ACC210
CS404,Topics in Databases,CS304,MATH201
ENGR405,Design Design,ENGR305,PHYS101
IT206,Systems Networking,IT106
NUR405,Leadership Leadership,NUR305
MIS109,Information Systems Analytics
SPAN201,Conversation Culture,SPAN101
GEO103,GIS Cartography
PHIL407,Logic Logic,PHIL307
BUS106,Strategic Operations
ENV408,Conservation Conservation,ENV308
CHEM306,Physical Analytical Chemistry,CHEM206
FREN205,Elementary French,FREN105
ART403,Photography Photography,ART303
PSY206,Cognitive Cognition,PSY106
ENGR107,Design Design
CHEM310,Organic Organic Chemistry,CHEM210
ENV108,Environmental Environmental Science
CS308,Seminar in Operating Systems,CS208
THEA201,Theatre History Theatre History,THEA101
CHEM301,Materials Materials,CHEM201
ART101,Art History Art History
ART305,Sculpture Sculpture,ART205
ACC108,Financial Accounting
ENGR202,Materials Materials,ENGR102
PHYS202,Advanced Optics,PHYS102
BIO305,Ecology Ecology,BIO205
PHYS407,Modern Mechanics,PHYS307
ECON306,International Public Economics,ECON206
FIN206,Investments Investments,FIN106
ECON208,Econometrics International Economics,ECON108
CHEM305,Analytical Physical Chemistry,CHEM205
ANTH305,Linguistic Medical Anthropology,ANTH205
HIST302,World World History,HIST202
PSY309,Introduction to Psychology,PSY209
SOC207,Cultural Inequality,SOC107
POLS208,American American Politics,POLS108
ANTH210,Visual Social Change,ANTH110
MIS203,Business Intelligence Data Management,MIS103
BUS405,Global Analytics,BUS305
ACC409,Taxation Taxation,ACC309
THEA205,Acting Acting,THEA105
PHYS209,Advanced Optics,PHYS109
GEO210,Geomorphology Remote Sensing,GEO110
PHIL208,Metaphysics Metaphysics,PHIL108
COMM109,Interpersonal Interpersonal Communication
MUS308,Conducting Conducting,MUS208
SOC210,Global Community,SOC110
SPAN108,Elementary Spanish
COMM301,Digital Media Digital Media,COMM201
ART402,Sculpture Sculpture,ART302
MUS405,Conducting Conducting,MUS305
COMM408,Mass Media Mass Media,COMM308
BIO207,Molecular Microbiology,BIO107
MIS205,Management Information Systems,MIS105
ANTH203,Visual Social Change,ANTH103
THEA306,Playwriting Playwriting,THEA206
STAT209,Regression Regression,STAT109
HIST208,Asian Ancient Civilizations,HIST108
THEA204,Production Production,THEA104
POLS303,Comparative Comparative Politics,POLS203
ENG108,Composition Composition
PHYS404,Computational Thermodynamics,PHYS304
ECON410,International Public Economics,ECON310
ENV305,Policy Policy,ENV205
GEO301,Remote Sensing Human Geography,GEO201
COMM308,Digital Media Digital Media,COMM208
BUS202,Applied Strategy,BUS102
COMM403,PR Public Relations,COMM303
FIN405,Markets Markets,FIN305
MIS401,Analytics ERP Systems,MIS301
MIS409,ERP Decision Support,MIS309
PHIL106,Aesthetics Aesthetics
GEO102,Human GIS
ACC209,Forensic Forensic Accounting,ACC109
MATH104,Discrete Linear Algebra
PHYS208,Applied Quantum,PHYS108
BUS305,Topics in Entrepreneurship,BUS205
FIN306,Risk Risk Management,FIN206
HIST105,Ancient Modern History
THEA303,Directing Directing,THEA203
MUS105,History Music History
MIS310,Information Systems Analytics,MIS210
ENV309,Environmental Environmental Science,ENV209
CHEM203,Biochemistry Biochemistry,CHEM103
GEO104,Cartography Climatology
ART106,Printmaking Printmaking
ECON307,Public Development,ECON207
COMM305,Journalism Journalism,COMM205
POLS309,Introduction to Political Science,POLS209
MUS410,History Music History,MUS310
CS205,Introduction to Computer Science,CS105
ART103,Painting Painting
NUR410,Psychiatric OB/GYN,NUR310
GEO308,Remote Sensing Human Geography,GEO208
FIN106,International International Finance
GEO310,Human GIS,GEO210
ENG408,Literature Literature,ENG308
STAT305,Bayesian Bayesian Methods,STAT205
THEA106,Design Design
THEA103,Stagecraft Stagecraft
MATH105,Computational Probability
CHEM106,Biochemistry Biochemistry
COMM307,Media Writing Media Writing,COMM207
GEO205,Physical Geography,GEO105
IT308,Mobile Systems Administration,IT208
ENG304,Literature Literature,ENG204
COMM401,Mass Media Mass Media,COMM301
BUS108,Principles of Business
BUS406,Principles of Business,BUS306
ANTH104,Linguistic Medical Anthropology
CHEM209,Physical Analytical Chemistry,CHEM109
NUR302,Foundations of Nursing,NUR202
PHIL401,Ethics Ethics,PHIL301
SOC206,Social Social Theory,SOC106
PHYS201,Applied Quantum,PHYS101
FREN301,Literature Translation,FREN201
STAT204,Design of Experiments Experiment Design,STAT104
POLS405,Methods Methods,POLS305
ACC201,Taxation Taxation,ACC101
PSY106,Biopsychology Social Behavior
BIO306,Genetics Anatomy,BIO206
ENG302,Composition Composition,ENG202
FREN304,Advanced Composition,FREN204
ANTH110,Archaeology Linguistics
ECON202,International Public Economics,ECON102
FIN406,Corporate Finance,FIN306
BIO205,Introductory Biology,BIO105
PSY202,Abnormal Neuroscience,PSY102
BUS210,Strategic Operations,BUS110
NUR304,Pediatric Pharmacology,NUR204
FREN108,Elementary French
MUS207,Composition Composition,MUS107
ART205,Art History Art History,ART105
BUS403,Applied Strategy,BUS303
BIO208,Ecology Ecology,BIO108
ACC204,Reporting AIS,ACC104
ENGR101,Introduction to Engineering
HIST110,European European History
COMM406,Public Speaking Public Speaking,COMM306
FREN309,Elementary French,FREN209
STAT410,Regression Regression,STAT310
SPAN206,Intermediate Conversation,SPAN106
MUS305,Performance Performance,MUS205
SOC406,Introduction to Sociology,SOC306
PSY407,Cognitive Cognition,PSY307
ANTH405,Urban Urban Studies,ANTH305
ANTH209,Medical Cultural Studies,ANTH109
PHIL102,Logic Logic
PHIL303,Logic Logic,PHIL203
ANTH407,Biological Archaeology,ANTH307
CS409,Applied Algorithms,CS309,MATH201
PHYS302,General Physics,PHYS202
GEO306,Climatology Geomorphology,GEO206
SPAN406,Elementary Spanish,SPAN306
BIO403,Genetics Anatomy,BIO303
ACC205,Financial Accounting,ACC105
HIST205,World World History,HIST105
ART401,Painting Painting,ART301
STAT403,Regression Regression,STAT303
HIST207,European European History,HIST107
FIN107,Markets Markets
GEO109,Human GIS
MIS301,Data Project Management,MIS201
ENGR210,Fluid Fluid Mechanics,ENGR110
IT108,Information Information Technology
FREN307,Culture Advanced Grammar,FREN207
SOC108,Introduction to Sociology
ACC304,Auditing Auditing,ACC204
ENGR409,Thermodynamics Thermodynamics,ENGR309,PHYS101
HIST401,European European History,HIST301
PHYS106,Computational Thermodynamics
BIO309,Introductory Biology,BIO209
THEA403,Playwriting Playwriting,THEA303
COMM108,Public Speaking Public Speaking
POLS201,American American Politics,POLS101
ENG409,Poetry Poetry,ENG309
ACC305,Taxation Taxation,ACC205
IT104,Security Cloud
IT105,Cloud Web Development
PSY303,Cognitive Cognition,PSY203
POLS310,Comparative Comparative Politics,POLS210
MATH305,Discrete Linear Algebra,MATH205
ENV405,Resources Impact Assessment,ENV305
MATH409,Discrete Linear Algebra,MATH309
THEA401,Stagecraft Stagecraft,THEA301
CS201,Applied Algorithms,CS101
MUS103,Composition Composition
ENV101,Environmental Environmental Science
CHEM107,Materials Materials
MIS202,Decision Support Business Intelligence,MIS102
SOC307,Global Community,SOC207
ACC301,Reporting AIS,ACC201
SPAN302,Elementary Spanish,SPAN202
COMM407,Interpersonal Interpersonal Communication,COMM307
CS406,Introduction to Computer Science,CS306,MATH201
PSY203,Biopsychology Social Behavior,PSY103
ANTH207,Archaeology Linguistics,ANTH107
BIO210,Microbiology Physiology,BIO110
CS307,Topics in Databases,CS207
BUS407,Fundamentals of Marketing,BUS307
SOC304,Cultural Inequality,SOC204
ANTH208,Linguistic Medical Anthropology,ANTH108
GEO409,Cartography Climatology,GEO309
MATH102,Applied Calculus
ENGR308,Design Design,ENGR208
CHEM110,Inorganic Inorganic Chemistry
IT204,Mobile Systems Administration,IT104
MUS205,Music Theory Music Theory,MUS105
SOC306,Rural Globalization,SOC206
SPAN403,Composition Literature,SPAN303
ART108,Art History Art History
ACC410,Forensic Forensic Accounting,ACC310
MUS109,Aural Skills Aural Skills
BIO203,Microbiology Physiology,BIO103
COMM104,Journalism Journalism
ENG403,Fiction Fiction,ENG303
PHYS309,General Physics,PHYS209
BIO108,Introductory Biology
PHIL205,Introduction to Philosophy,PHIL105
ACC101,Financial Accounting
IT110,Networking Security
SPAN402,Conversation Culture,SPAN302
ENV102,Sustainability Sustainability
NUR104,OB/GYN Pediatrics
ENV409,Policy Policy,ENV309
COMM310,Interpersonal Interpersonal Communication,COMM210
STAT207,Mathematical Mathematical Statistics,STAT107
ACC106,Accounting Info Systems Reporting
ART304,Painting Painting,ART204
ENV306,Impact Modeling,ENV206
GEO107,Remote Sensing Human Geography
IT301,Mobile Systems Administration,IT201
PHIL108,Introduction to Philosophy
NUR305,OB/GYN Pediatrics,NUR205
FREN207,Advanced Composition,FREN107
POLS210,Public Policy Political Theory,POLS110
FREN202,Composition Literature,FREN102
ART303,Drawing Drawing,ART203
THEA101,Acting Acting
NUR401,Pediatric Pharmacology,NUR301
ENG410,Fiction Fiction,ENG310
MUS202,History Music History,MUS102
COMM103,Mass Media Mass Media
ENGR205,Introduction to Engineering,ENGR105
PSY305,Developmental Abnormal Psychology,PSY205
ECON210,Public Development,ECON110
CS310,Foundations of Programming,CS210
SPAN304,Advanced Composition,SPAN204
PHIL202,Epistemology Epistemology,PHIL102
BUS410,Applied Strategy,BUS310
ECON302,Principles of Economics,ECON202
ART210,Printmaking Printmaking,ART110
ACC109,Managerial Managerial Accounting
THEA405,Production Production,THEA305
MIS209,Decision Support Business Intelligence,MIS109
HIST306,Ancient Modern History,HIST206
SOC101,Introduction to Sociology
THEA102,Directing Directing
IT109,Systems Networking
SOC310,Social Social Theory,SOC210
CS301,Seminar in Operating Systems,CS201
SOC409,Urban Institutions,SOC309
COMM410,PR Public Relations,COMM310
ENG202,Fiction Fiction,ENG102
MATH304,Advanced Discrete Mathematics,MATH204
ENGR306,Materials Materials,ENGR206
NUR408,Pediatric Pharmacology,NUR308
PHIL104,Metaphysics Metaphysics
ENGR208,Thermodynamics Thermodynamics,ENGR108
ENV402,Policy Policy,ENV302
ACC206,Managerial Managerial Accounting,ACC106
FIN401,Financial Corporate Finance,FIN301
CHEM407,Organic Organic Chemistry,CHEM307
SOC403,Rural Globalization,SOC303
ENG407,Rhetoric Rhetoric,ENG307
CHEM405,Materials Materials,CHEM305
CHEM302,General Chemistry,CHEM202
IT103,Networking Security
THEA208,Theatre History Theatre History,THEA108
STAT106,Time Series Time Series
GEO108,Physical Geography
STAT104,Bayesian Bayesian Methods
IT402,Security Cloud,IT302
MATH410,Computational Probability,MATH310
NUR201,OB/GYN Pediatrics,NUR101
HIST102,American American History
ENV206,Sustainability Sustainability,ENV106
ART207,Painting Painting,ART107
MUS204,Conducting Conducting,MUS104
ANTH401,Archaeology Linguistics,ANTH301
ACC208,Taxation Taxation,ACC108
BUS306,Applied Strategy,BUS206
NUR301,Leadership Leadership,NUR201
ECON406,Principles of Economics,ECON306
BIO103,Molecular Microbiology
NUR207,Pediatric Pharmacology,NUR107
STAT304,Mathematical Mathematical Statistics,STAT204
ENGR407,Statics Statics,ENGR307,PHYS101
ART407,Drawing Drawing,ART307
MIS302,Management Information Systems,MIS202
PSY105,Abnormal Neuroscience
IT107,Mobile Systems Administration
ENV304,Conservation Conservation,ENV204
CHEM207,Inorganic Inorganic Chemistry,CHEM107
NUR308,Leadership Leadership,NUR208
CHEM105,Physical Analytical Chemistry
POLS408,International International Relations,POLS308
ECON201,Econometrics International Economics,ECON101
IT201,Security Cloud,IT101
NUR406,Foundations of Nursing,NUR306
MUS201,Performance Performance,MUS101
BIO301,Physiology Molecular Biology,BIO201
THEA210,Design Design,THEA110
THEA408,Stagecraft Stagecraft,THEA308
MIS110,Analytics ERP Systems
CS106,Topics in Databases
SPAN210,Culture Advanced Grammar,SPAN110
BUS110,Advanced Management
POLS302,Introduction to Political Science,POLS202
ART307,Printmaking Printmaking,ART207
SPAN404,Culture Advanced Grammar,SPAN304
BIO410,Genetics Anatomy,BIO310
ECON310,Micro Microeconomics,ECON210
ENGR305,Thermodynamics Thermodynamics,ENGR205
SPAN401,Advanced Composition,SPAN301
ENV106,Modeling Resources
COMM106,Media Writing Media Writing
GEO402,Cartography Climatology,GEO302
MATH108,College Algebra
POLS306,Political Theory Public Policy,POLS206
CHEM401,Inorganic Inorganic Chemistry,CHEM301
ENG104,Poetry Poetry
ACC207,Auditing Auditing,ACC107
HIST408,European European History,HIST308
ENV407,Sustainability Sustainability,ENV307
THEA105,Playwriting Playwriting
PSY304,Social Development,PSY204
MUS108,Music Theory Music Theory
HIST201,Asian Ancient Civilizations,HIST101
PHYS107,Theoretical Astrophysics
BIO204,Physiology Molecular Biology,BIO104
FREN101,Elementary French
PHIL209,Epistemology Epistemology,PHIL109
GEO408,GIS Cartography,GEO308
STAT205,Introduction to Statistics,STAT105
ANTH303,Biological Archaeology,ANTH203
SPAN308,Literature Translation,SPAN208
PSY110,Social Development
IT208,Security Cloud,IT108
ANTH107,Urban Urban Studies
POLS410,Political Theory Public Policy,POLS310
HIST204,Medieval Global History,HIST104
HIST402,Asian Ancient Civilizations,HIST302
CS101,Introduction to Computer Science
ECON102,Micro Microeconomics
ENGR206,Statics Statics,ENGR106
HIST309,World World History,HIST209
ECON303,Micro Microeconomics,ECON203
FREN402,Conversation Culture,FREN302
IT409,Security Cloud,IT309
ENGR401,Dynamics Dynamics,ENGR301,PHYS101
MIS404,Business Intelligence Data Management,MIS304
ANTH106,Visual Social Change
COMM202,PR Public Relations,COMM102
HIST303,American American History,HIST203
FIN101,Corporate Finance
SPAN203,Culture Advanced Grammar,SPAN103
ENGR209,Materials Materials,ENGR109
HIST407,American American History,HIST307
ART410,Photography Photography,ART310
ENV110,Conservation Conservation
CHEM108,General Chemistry
FIN104,Derivatives Derivatives
STAT409,Bayesian Bayesian Methods,STAT309
FIN408,Financial Corporate Finance,FIN308
POLS101,Introduction to Political Science
FIN204,Markets Markets,FIN104
SOC203,Global Community,SOC103
ENG102,Rhetoric Rhetoric
MUS402,Performance Performance,MUS302
MUS203,Ensemble Ensemble,MUS103
COMM402,Journalism Journalism,COMM302
THEA406,Acting Acting,THEA306
COMM207,Mass Media Mass Media,COMM107
BUS301,Global Analytics,BUS201
IT302,Information Information Technology,IT202
FIN305,Derivatives Derivatives,FIN205
SOC405,Inequality Methods,SOC305
PHIL402,Metaphysics Metaphysics,PHIL302
MUS104,Performance Performance
STAT301,Design of Experiments Experiment Design,STAT201
NUR107,Leadership Leadership
ENV207,Conservation Conservation,ENV107
PSY404,Biopsychology Social Behavior,PSY304
NUR105,Psychiatric OB/GYN
STAT201,Bayesian Bayesian Methods,STAT101
MIS406,Management Information Systems,MIS306
POLS206,Comparative Comparative Politics,POLS106
GEO406,Physical Geography,GEO306
ECON405,Development Econometrics,ECON305
BIO303,Cell Genetics,BIO203
ENV301,Resources Impact Assessment,ENV201
GEO203,Geomorphology Remote Sensing,GEO103
CS309,Introduction to Computer Science,CS209
PSY210,Biopsychology Social Behavior,PSY110
MIS402,ERP Decision Support,MIS302
ENGR110,Dynamics Dynamics
MUS102,Aural Skills Aural Skills
PHIL207,Ethics Ethics,PHIL107
PSY410,Abnormal Neuroscience,PSY310
POLS102,Comparative Comparative Politics
MATH402,Discrete Linear Algebra,MATH302
MIS307,Business Intelligence Data Management,MIS207
PSY207,Social Development,PSY107
ACC307,Accounting Info Systems Reporting,ACC207
BIO408,Molecular Microbiology,BIO308
COMM107,Digital Media Digital Media
CS305,Applied Algorithms,CS205
THEA107,Production Production
ENG404,Nonfiction Nonfiction,ENG304
HIST403,Ancient Modern History,HIST303
PSY409,Developmental Abnormal Psychology,PSY309
NUR402,OB/GYN Pediatrics,NUR302
ENG105,Fiction Fiction
ENG308,Creative Writing Creative Writing,ENG208
ART102,Drawing Drawing
COMM309,Public Speaking Public Speaking,COMM209
SOC402,Urban Institutions,SOC302
PHYS401,Experimental Electricity & Magnetism,PHYS301
SPAN309,Elementary Spanish,SPAN209
BUS404,Strategic Operations,BUS304
MIS405,Data Project Management,MIS305
ENV209,Impact Modeling,ENV109
ENGR302,Introduction to Engineering,ENGR202
PSY301,Personality Research Methods,PSY201
BIO304,Molecular Microbiology,BIO204
CS306,Advanced Software Engineering,CS206
ENGR303,Statics Statics,ENGR203
BIO302,Introductory Biology,BIO202
BIO107,Physiology Molecular Biology
MIS108,Management Information Systems
IT303,Systems Networking,IT203
STAT406,Introduction to Statistics,STAT306
MIS106,Business Intelligence Data Management
ECON204,Development Econometrics,ECON104
FIN203,International International Finance,FIN103
PHYS306,Advanced Optics,PHYS206
POLS103,International International Relations
MIS305,ERP Decision Support,MIS205
POLS209,Political Theory Public Policy,POLS109
GEO105,Climatology Geomorphology
SOC107,Inequality Methods
ENV310,Sustainability Sustainability,ENV210
SOC204,Inequality Methods,SOC104
HIST406,World World History,HIST306
MATH103,Advanced Discrete Mathematics
THEA206,Directing Directing,THEA106
FREN201,Conversation Culture,FREN101
CHEM402,Analytical Physical Chemistry,CHEM302
ECON106,Public Development
ECON407,Micro Microeconomics,ECON307
GEO401,GIS Cartography,GEO301
CS407,Foundations of Programming,CS307,MATH201
MUS409,Performance Performance,MUS309
CHEM403,Physical Analytical Chemistry,CHEM303
POLS308,Methods Methods,POLS208
MIS303,Information Systems Analytics,MIS203
SPAN107,Literature Translation
ENV105,Impact Modeling
ECON205,Principles of Economics,ECON105
ENGR408,Dynamics Dynamics,ENGR308,PHYS101
ANTH103,Archaeology Linguistics
ECON105,International Public Economics
NUR203,Pharmacology Psychiatric Care,NUR103
BIO106,Microbiology Physiology
BUS309,Principles of Business,BUS209
PHIL203,Aesthetics Aesthetics,PHIL103
CHEM204,Materials Materials,CHEM104
PSY302,Introduction to Psychology,PSY202
CS104,Applied Algorithms
MATH106,Numerical Numerical Methods
THEA305,Theatre History Theatre History,THEA205
IT401,Networking Security,IT301
ANTH410,Medical Cultural Studies,ANTH310
PHYS205,General Physics,PHYS105
